WHO Region Code,WHO Region,Country Code,Country,Year,Alcohol total per capita (15+) consumption in liters (numeric)
AMR,Americas,USA,United States of America,2015,9.93
AMR,Americas,USA,United States of America,2014,9.855
AMR,Americas,USA,United States of America,2013,9.815
AMR,Americas,USA,United States of America,2012,9.71
AMR,Americas,USA,United States of America,2011,9.555
AMR,Americas,USA,United States of America,2010,9.46
AMR,Americas,USA,United States of America,2009,9.51
AMR,Americas,USA,United States of America,2008,9.63
AMR,Americas,USA,United States of America,2007,9.67
AMR,Americas,USA,United States of America,2006,9.66
AMR,Americas,USA,United States of America,2005,9.62
AMR,Americas,USA,United States of America,2004,9.595
AMR,Americas,USA,United States of America,2003,9.57
AMR,Americas,USA,United States of America,2002,9.54
AMR,Americas,USA,United States of America,2001,9.525
AMR,Americas,USA,United States of America,2000,9.525
