Country/Region/World,ISO,Sex,Year,Mean systolic blood pressure (mmHg),Mean diastolic blood pressure (mmHg)
United States of America,USA,Both,2015,120.42005,72.357185
United States of America,USA,Both,2014,120.3291,72.361035
United States of America,USA,Both,2013,120.2383,72.36556
United States of America,USA,Both,2012,120.1432,72.36684
United States of America,USA,Both,2011,120.041,72.36263
United States of America,USA,Both,2010,119.93555,72.3476
United States of America,USA,Both,2009,119.8233,72.33141
United States of America,USA,Both,2008,119.6962,72.305115
United States of America,USA,Both,2007,119.5622,72.278265
United States of America,USA,Both,2006,119.427,72.249895
United States of America,USA,Both,2005,119.30035,72.22439
United States of America,USA,Both,2004,119.1958,72.216355
United States of America,USA,Both,2003,119.11655,72.227105
United States of America,USA,Both,2002,119.0598,72.255785
United States of America,USA,Both,2001,119.0287,72.305065
United States of America,USA,Both,2000,119.02485,72.372555
